plan_bucket	decision	gsc_reason	why	action	confidence	lang	kind	dept	slug	target	was_login	product_hit	url	last_crawl
P0_RECOVER_PRODUCT	RECOVER_308	"noindex" etiketi tarafından hariç tutuldu	noindex_login_wraps_product	308_login_next_to_product	high	en	shop_pdp	kahve	atkm-4m	/en/shop/kahve/atkm-4m	True	True	https://equsto.com/en/login?mode=register&next=/en/shop/kahve/atkm-4m	2026-09-22
P0_RECOVER_PRODUCT	COMMERCE_LEAK_NOINDEX	"noindex" etiketi tarafından hariç tutuldu	tr_pdp_noindex_leak	remove_noindex_tr_pdp	high	tr	shop_pdp	set-ustu-mutfak	8893-up103-00	/shop/set-ustu-mutfak/8893-up103-00	False	False	https://equsto.com/shop/set-ustu-mutfak/8893-up103-00	2026-09-22
P0_RECOVER_PRODUCT	COMMERCE_LEAK_NOINDEX	"noindex" etiketi tarafından hariç tutuldu	tr_pdp_noindex_leak	remove_noindex_tr_pdp	high	tr	shop_pdp	hazirlik	9823-dr436-00	/shop/hazirlik/9823-dr436-00	False	False	https://equsto.com/shop/hazirlik/9823-dr436-00	2026-09-21
P0_RECOVER_PRODUCT	RECOVER_308	"noindex" etiketi tarafından hariç tutuldu	noindex_login_wraps_product	308_login_next_to_product	high	en	shop_pdp	market-reyonlari	eq-falcon-sld-eq113	/en/shop/market-reyonlari/eq-falcon-sld-eq113	True	True	https://equsto.com/en/login?mode=register&next=/en/shop/market-reyonlari/eq-falcon-sld-eq113	2026-09-21
P0_RECOVER_PRODUCT	RECOVER_308	"noindex" etiketi tarafından hariç tutuldu	noindex_login_wraps_product	308_login_next_to_product	high	en	shop_pdp	pisirme	xb895	/en/shop/pisirme/xb895	True	True	https://equsto.com/en/login?mode=register&next=/en/shop/pisirme/xb895	2026-09-21
P0_RECOVER_PRODUCT	RECOVER_308	"noindex" etiketi tarafından hariç tutuldu	noindex_login_wraps_product	308_login_next_to_product	high	tr	shop_pdp	set-ustu-mutfak	8315-00011-00	/shop/set-ustu-mutfak/8315-00011-00	True	True	https://equsto.com/en/login?next=/shop/set-ustu-mutfak/8315-00011-00	2026-09-21
P0_RECOVER_PRODUCT	RECOVER_308	"noindex" etiketi tarafından hariç tutuldu	noindex_login_wraps_product	308_login_next_to_product	high	tr	shop_pdp	market-reyonlari	eq-split-sogutma-sistemi-eq1	/shop/market-reyonlari/eq-split-sogutma-sistemi-eq1	True	False	https://equsto.com/en/login?next=/shop/market-reyonlari/eq-split-sogutma-sistemi-eq1	2026-09-21
P0_RECOVER_PRODUCT	RECOVER_308	"noindex" etiketi tarafından hariç tutuldu	noindex_login_wraps_product	308_login_next_to_product	high	tr	shop_pdp	istif	7897-14080-40	/shop/istif/7897-14080-40	True	True	https://equsto.com/en/login?next=/shop/istif/7897-14080-40	2026-09-21
P0_RECOVER_PRODUCT	RECOVER_308	"noindex" etiketi tarafından hariç tutuldu	noindex_login_wraps_product	308_login_next_to_product	high	tr	shop_pdp	set-ustu-mutfak	8845-0crg2-00	/shop/set-ustu-mutfak/8845-0crg2-00	True	True	https://equsto.com/en/login?mode=register&next=/shop/set-ustu-mutfak/8845-0crg2-00	2026-09-21
P0_RECOVER_PRODUCT	RECOVER_308	"noindex" etiketi tarafından hariç tutuldu	noindex_login_wraps_product	308_login_next_to_product	high	en	shop_pdp	pisirme	pi5-m004-k	/en/shop/pisirme/pi5-m004-k	True	True	https://equsto.com/en/login?mode=register&next=/en/shop/pisirme/pi5-m004-k	2026-09-21
P0_RECOVER_PRODUCT	RECOVER_308	"noindex" etiketi tarafından hariç tutuldu	noindex_login_wraps_product	308_login_next_to_product	high	en	shop_pdp	dolap	7911-19060-44	/en/shop/tezgah/7911-19060-44	True	True	https://equsto.com/en/login?mode=register&next=/en/shop/dolap/7911-19060-44	2026-09-21
P0_RECOVER_PRODUCT	RECOVER_308	"noindex" etiketi tarafından hariç tutuldu	noindex_login_wraps_product	308_login_next_to_product	high	en	shop_pdp	pisirme	7961-11829-7y4	/en/shop/yikama/7961-11829-7y4	True	True	https://equsto.com/en/login?mode=register&next=/en/shop/pisirme/7961-11829-7y4	2026-09-21
P0_RECOVER_PRODUCT	RECOVER_308	"noindex" etiketi tarafından hariç tutuldu	noindex_login_wraps_product	308_login_next_to_product	high	en	shop_pdp	market-reyonlari	eq-tiger-cg-eq4	/en/shop/market-reyonlari/eq-tiger-cg-eq4	True	True	https://equsto.com/en/login?mode=register&next=/en/shop/market-reyonlari/eq-tiger-cg-eq4	2026-09-21
P0_RECOVER_PRODUCT	RECOVER_308	"noindex" etiketi tarafından hariç tutuldu	noindex_login_wraps_product	308_login_next_to_product		en	shop_pdp	market-reyonlari	eq-fulya-nv-tp-eq22		True	False	https://equsto.com/en/login?mode=register&next=/en/shop/market-reyonlari/eq-fulya-nv-tp-eq22	2026-09-21
