decision	confidence	reason	lang	dept	slug	target	was_login	url
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	pimak-19070-08		False	https://equsto.com/shop/tezgah/pimak-19070-08
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	pimak-16060-04		False	https://equsto.com/shop/tezgah/pimak-16060-04
NEEDS_HUMAN	low	ambiguous_sku_match	en	tezgah	pimak-19060-04		False	https://equsto.com/en/shop/tezgah/pimak-19060-04
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	pimak-14060-00		False	https://equsto.com/shop/tezgah/pimak-14060-00
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	pimak-14070-14		False	https://equsto.com/shop/tezgah/pimak-14070-14
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	pimak-14070-08		False	https://equsto.com/shop/tezgah/pimak-14070-08
NEEDS_HUMAN	low	ambiguous_sku_match	en	tezgah	pimak-19070-00		False	https://equsto.com/en/shop/tezgah/pimak-19070-00
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	pimak-19070-00		False	https://equsto.com/shop/tezgah/pimak-19070-00
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	pimak-14070-04		False	https://equsto.com/shop/tezgah/pimak-14070-04
NEEDS_HUMAN	low	ambiguous_sku_match	en	tezgah	pimak-09060-04		False	https://equsto.com/en/shop/tezgah/pimak-09060-04
NEEDS_HUMAN	low	ambiguous_sku_match	en	tezgah	pimak-16070-14		False	https://equsto.com/en/shop/tezgah/pimak-16070-14
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	pimak-12070-04		False	https://equsto.com/shop/tezgah/pimak-12070-04
NEEDS_HUMAN	low	ambiguous_sku_match	en	tezgah	pimak-14070-14		False	https://equsto.com/en/shop/tezgah/pimak-14070-14
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	equsto-19070-08		False	https://equsto.com/shop/tezgah/equsto-19070-08
NEEDS_HUMAN	low	ambiguous_sku_match	en	tezgah	pimak-12060-00		False	https://equsto.com/en/shop/tezgah/pimak-12060-00
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	equsto-14070-00		False	https://equsto.com/shop/tezgah/equsto-14070-00
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	pimak-09070-04		False	https://equsto.com/shop/tezgah/pimak-09070-04
NEEDS_HUMAN	low	ambiguous_sku_match	en	tezgah	pimak-12070-00		False	https://equsto.com/en/shop/tezgah/pimak-12070-00
NEEDS_HUMAN	low	ambiguous_sku_match	en	tezgah	pimak-19070-04		False	https://equsto.com/en/shop/tezgah/pimak-19070-04
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	equsto-19060-00		False	https://equsto.com/shop/tezgah/equsto-19060-00
NEEDS_HUMAN	low	ambiguous_sku_match	en	tezgah	pimak-19070-08		False	https://equsto.com/en/shop/tezgah/pimak-19070-08
NEEDS_HUMAN	low	ambiguous_sku_match	en	tezgah	pimak-19060-00		False	https://equsto.com/en/shop/tezgah/pimak-19060-00
NEEDS_HUMAN	low	ambiguous_sku_match	en	tezgah	pimak-14070-00		False	https://equsto.com/en/shop/tezgah/pimak-14070-00
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	pimak-14060-04		False	https://equsto.com/shop/tezgah/pimak-14060-04
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	pimak-12060-04		False	https://equsto.com/shop/tezgah/pimak-12060-04
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	pimak-16060-14		False	https://equsto.com/shop/tezgah/pimak-16060-14
NEEDS_HUMAN	low	ambiguous_sku_match	en	tezgah	pimak-10060-00		False	https://equsto.com/en/shop/tezgah/pimak-10060-00
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	pimak-12070-14		False	https://equsto.com/shop/tezgah/pimak-12070-14
NEEDS_HUMAN	low	ambiguous_sku_match	en	tezgah	pimak-16060-14		False	https://equsto.com/en/shop/tezgah/pimak-16060-14
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	pimak-12060-14		False	https://equsto.com/shop/tezgah/pimak-12060-14
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	equsto-19070-04		False	https://equsto.com/shop/tezgah/equsto-19070-04
